Erfnumber,sign,Illuminati,1st,3rd,Height,Width,Area,NumberofSi,NrofSidesT,StreetName,BuildingNa,longitude,latitude,BusinessSh,TenantName,Encroachme,1stParty,3rdParty,Approximat,DateCreate,DateUpdate,hae
94836,flatsgn,Yes,No,Yes,20,15,300,1,1,Orange,1 on Orange,18.4135177147256,-33.9273346364481,McDonalds,McDonalds,Yes Certain,McDonalds,H&M,80,2015-10-14T13:31:53Z,NA,71.0873705631375
94836,flatsgn,Yes,Yes,No,1,1,1,1,1,Kloof,1 on Kloof,18.4133784924191,-33.9274353045293,McDonalds,NA,Yes Certain,McDonalds,NA,100,2015-10-14T13:40:45Z,NA,64.6815929076056
94836,flatsgn,Yes,No,Yes,15,10,150,1,1,Kloof,1 on Orange,18.4131376551855,-33.9275957262222,McDonalds,NA,Yes Certain,McDonalds,Little Dragon,100,2015-10-14T13:52:46Z,NA,64.0225300735995
96236,flatsgn,Yes,Yes,No,0.3,4,1.2,1,1,Kloof,39 on Kloof,18.4125464882957,-33.9281507582607,Dark Paradise,NA,Yes Certain,Dark Paradise,NA,100,2015-10-14T14:09:00Z,NA,62.4531408340565
96236,flatsgn,No,Yes,No,0.5,1.5,0.75,1,1,Kloof,39 on Kloof,18.4126079007761,-33.9281579901374,Indie,Indie,Yes Certain,Indie,NA,50,2015-10-14T14:13:02Z,NA,61.440800631732
96137,flatsgn,Yes,Yes,No,1.5,5,7.5,1,1,Rheede,Rheede Centre,18.4124470740408,-33.9293663174797,Rheede street Mall,NA,Yes Certain,Rheede street mall,NA,250,2015-10-15T12:43:41Z,NA,64.7330929847806
96137,flatsgn,Yes,Yes,No,0.3,2,0.6,1,1,Rheede,Rheede Centre,18.4124668954387,-33.929366805615,Sawaddee,NA,Yes Certain,Sawaddee,NA,150,2015-10-15T12:46:59Z,NA,68.2010111002467
94839,flatsgn,Yes,No,Yes,2,5,10,1,1,Kloof,51 on Kloof,18.4117988660501,-33.928914885032,Cell Corner,Cell Corner,Yes Certain,Cell Corner,New Edge,300,2015-10-15T13:43:34Z,NA,71.8664549492914
94839,flatsgn,Yes,Yes,No,1,3,3,1,1,Kloof,51 on Kloof,18.4117178638255,-33.9290079659941,I love NY,NA,Yes Certain,I love NY,NA,200,2015-10-15T13:52:05Z,NA,73.9110464914318
94839,flatsgn,Yes,No,Yes,2,9,18,1,1,Kloof,51 on Kloof,18.4117161763161,-33.9290143273806,I love NY,NA,Yes Certain,I love NY,New Edge,250,2015-10-15T13:55:09Z,NA,76.3314283332452
